topic_id,post_count,top_terms,top_scores
noise_1,18,android|devices|tech|durable|audio|boring|old|hardware|game|intrusive|feel fully|hurts,0.065221|0.052143|0.046473|0.037055|0.037055|0.032823|0.032493|0.031143|0.023236|0.021740|0.021740|0.021740
noise_10,11,hallucination|flash|hallucination rate|judgment|incorrect|91|checking|door|opened|gemini|rate|answer,0.109004|0.026237|0.026237|0.022360|0.019806|0.019678|0.018354|0.018354|0.018040|0.017898|0.017898|0.016996
noise_11,11,bubble|think|novelty|going|know|presence|shortage|understanding|search|thing|companies|art,0.026766|0.023403|0.023356|0.023265|0.017020|0.016729|0.014929|0.014577|0.014577|0.014062|0.012948|0.012547
noise_12,12,tech|president|government|chief|chip|big tech|china|revolution|launches|investments|lifting|tech getting,0.150361|0.147398|0.109680|0.068510|0.060685|0.054840|0.048150|0.040195|0.040195|0.040195|0.040195|0.040195
noise_13,37,bots|human|person|pull|humans|grok|grammar|authorship|face|think|interaction|users,0.013663|0.012999|0.012019|0.010592|0.010476|0.010015|0.009322|0.009322|0.009112|0.009057|0.008479|0.008302
noise_14,30,code|software|coding|agents|work|think|engineers|job|jobs|programmer|replacement|companies,0.019941|0.015917|0.014963|0.013614|0.012430|0.012089|0.010807|0.010614|0.009198|0.009013|0.009013|0.008856
noise_15,16,copyright|music|song|sora|make|video|songs|ask|style|listing|content|images,0.054580|0.036624|0.030322|0.024258|0.017437|0.015714|0.015161|0.013448|0.013248|0.012129|0.011767|0.011445
noise_2,40,reaction|lab|instruments|elements|turn|table|books|technician|strike|synthesis|radioactive|periodic table,0.026201|0.025031|0.024549|0.024549|0.023005|0.020633|0.019651|0.019204|0.019204|0.019204|0.019204|0.019204
noise_3,9,methanol|water|carbon|production|scale|plant|water cycle|drank|babies|environment|emissions|mixture,0.092180|0.080098|0.052372|0.040049|0.035385|0.031442|0.030727|0.030727|0.030727|0.030037|0.026186|0.026186
noise_4,27,study|depression|cognitive|psychological|social|stress|women|violence|anxiety|videos|percent|sexual,0.025615|0.023620|0.019254|0.018896|0.018285|0.017842|0.016929|0.016252|0.016124|0.015404|0.015107|0.015107
noise_5,24,weight|foods|eat|food|rice|fentanyl|grains|lifestyle|patients|nutrients|medicine|diets,0.032617|0.026567|0.021876|0.019837|0.016559|0.016559|0.016559|0.014112|0.013239|0.012419|0.011861|0.011386
noise_6,63,biology|animals|dna|humans|evolution|eyes|species|selection|pressure|sciences|chemical|biological,0.053955|0.027440|0.020772|0.015841|0.015579|0.014752|0.013067|0.012695|0.011808|0.011108|0.011071|0.011071
